Run #1:
[71/100] Train Loss: 6187.1850, Test Loss: 5751.568352261247, mIoU: 0.790568391854542
[72/100] Train Loss: 5899.2888, Test Loss: 5394.737633840526, mIoU: 0.7827097020866836
[73/100] Train Loss: 5679.3698, Test Loss: 6196.602153574986, mIoU: 0.7812518841444417
[74/100] Train Loss: 5640.3472, Test Loss: 5080.893720177604, mIoU: 0.8115852169464285
[75/100] Train Loss: 5490.8206, Test Loss: 6014.775903309185, mIoU: 0.8164014083739826
[76/100] Train Loss: 5344.5565, Test Loss: 5635.569218626605, mIoU: 0.8013913323121311
[77/100] Train Loss: 5156.4195, Test Loss: 5520.008435779539, mIoU: 0.8523518524180581
[78/100] Train Loss: 5050.4030, Test Loss: 5637.925684164911, mIoU: 0.8022667436941958
[79/100] Train Loss: 4968.1918, Test Loss: 5655.359482936218, mIoU: 0.8178298574853925
[80/100] Train Loss: 4938.3666, Test Loss: 5364.181832232468, mIoU: 0.8371322110105396
[81/100] Train Loss: 4767.7996, Test Loss: 5660.797235118438, mIoU: 0.8245005027457272
[82/100] Train Loss: 4495.0614, Test Loss: 6064.489964795892, mIoU: 0.8062154442520522
[83/100] Train Loss: 4437.6283, Test Loss: 6221.826678799786, mIoU: 0.8066951614920745
[84/100] Train Loss: 4309.2820, Test Loss: 6096.897039999331, mIoU: 0.8181906140449939
[85/100] Train Loss: 4323.1775, Test Loss: 5135.355599117034, mIoU: 0.81758945721919
[86/100] Train Loss: 4381.9844, Test Loss: 5276.72017293085, mIoU: 0.8307081845754491
[87/100] Train Loss: 4566.6718, Test Loss: 4984.5010630291135, mIoU: 0.7768212827220912
[88/100] Train Loss: 4219.1698, Test Loss: 5195.331223871657, mIoU: 0.7814791043439973
[89/100] Train Loss: 3962.1863, Test Loss: 5043.937326352074, mIoU: 0.8207895957298911
[90/100] Train Loss: 3876.6780, Test Loss: 6010.5672410070765, mIoU: 0.8089497421127144
